transcript	#geneID
RNA1767	gene870
RNA1769	gene871
RNA1770	gene871
RNA1771	gene871
RNA1772	gene872
RNA1773	gene873
RNA1779	gene875
RNA1780	gene875
RNA1781	gene875
RNA1784	gene875
RNA1785	gene876
RNA1786	gene877
RNA1787	gene878
RNA1788	gene879
RNA1791	gene879
RNA1793	gene880
RNA1794	gene881
RNA1795	gene882
RNA1796	gene883
RNA1797	gene884
RNA1798	gene884
RNA1799	gene884
RNA1800	gene885
RNA1801	gene885
RNA1802	gene886
RNA1805	gene888
RNA1804	gene887
RNA1806	gene889
RNA1807	gene890
RNA1811	gene892
RNA1812	gene893
RNA1813	gene893
RNA1816	gene894
RNA1818	gene895
RNA1819	gene895
RNA1820	gene895
RNA1822	gene895
RNA1823	gene895
RNA1824	gene896
RNA1829	gene898
RNA1830	gene898
RNA1825	gene897
RNA1831	gene899
RNA1832	gene900
RNA1833	gene901
RNA1834	gene901
RNA1835	gene902
RNA1836	gene902
RNA1838	gene903
RNA1840	gene905
RNA1842	gene905
RNA1839	gene904
RNA1843	gene906
RNA1844	gene907
RNA1846	gene907
RNA1848	gene908
RNA1849	gene909
RNA1851	gene910
RNA1853	gene910
RNA1854	gene910
RNA1855	gene910
RNA1856	gene910
RNA1857	gene910
RNA1858	gene910
RNA1859	gene910
RNA1860	gene910
RNA1861	gene910
RNA1862	gene910
RNA1863	gene910
RNA1864	gene910
RNA1865	gene910
RNA1866	gene910
RNA1868	gene912
RNA1869	gene912
RNA1870	gene912
RNA1871	gene912
RNA1875	gene914
RNA1876	gene915
RNA1873	gene913
RNA1874	gene913
RNA1879	gene917
RNA1880	gene918
RNA1881	gene919
RNA1882	gene920
RNA1883	gene921
RNA1884	gene922
RNA1885	gene923
RNA1886	gene924
RNA1887	gene924
RNA1889	gene926
RNA1890	gene927
RNA1891	gene928
RNA1893	gene929
RNA1895	gene929
RNA1896	gene930
RNA1898	gene930
RNA1899	gene930
RNA1902	gene931
RNA1903	gene931
RNA1906	gene933
RNA1907	gene933
RNA1908	gene933
RNA1909	gene934
RNA1912	gene936
RNA1913	gene936
RNA1914	gene936
RNA1915	gene936
RNA1916	gene936
RNA1917	gene936
RNA1918	gene936
RNA1919	gene936
RNA1920	gene936
RNA1921	gene937
RNA1922	gene937
RNA1923	gene938
RNA1924	gene938
RNA1925	gene938
RNA1930	gene941
RNA1931	gene942
RNA1932	gene943
RNA1933	gene944
RNA1934	gene944
RNA1935	gene945
RNA1938	gene945
RNA1939	gene945
RNA1940	gene945
RNA1941	gene946
RNA1942	gene947
RNA1943	gene948
RNA1944	gene949
RNA1945	gene950
RNA1946	gene951
RNA1947	gene952
RNA1948	gene953
RNA1949	gene954
RNA1950	gene955
RNA1951	gene956
RNA1952	gene956
RNA1953	gene957
RNA1954	gene958
RNA1956	gene959
RNA1957	gene959
RNA1958	gene960
RNA1959	gene960
RNA1960	gene960
RNA1961	gene960
RNA1962	gene960
RNA1963	gene960
RNA1964	gene960
RNA1965	gene960
RNA1966	gene960
RNA1967	gene960
RNA1968	gene960
RNA1969	gene960
RNA1970	gene960
RNA1972	gene960
RNA1976	gene961
RNA1977	gene962
RNA1979	gene963
RNA1981	gene965
RNA1983	gene966
RNA1984	gene966
RNA1985	gene966
RNA1986	gene967
RNA1987	gene968
RNA1990	gene970
RNA1991	gene971
RNA1992	gene971
RNA1993	gene971
RNA1995	gene972
RNA1996	gene973
RNA1998	gene974
RNA2003	gene976
RNA2004	gene977
RNA2005	gene978
RNA2012	gene980
RNA2006	gene979
RNA2010	gene979
